created_at,user,tweet
2023-01-15 12:53:42,worldnews_guru,"Nordstream 2, Pentagon Diversity Chief, UFOs… Whatever Happened to These “Investigations” and “Reports”? https://t.co/U5l4ebZfMd #politics"
2023-01-15 12:51:19,SeefinishPublyk,"#Politics : Presidential Election: Another candidate woos Obasanjo, wants him to dump Obi
Source: Premium Times[🙋‍♀️Read More Headlines] https://t.co/YdGythxK40

#News #Nigeria"
2023-01-15 12:50:54,tanks_news,"Our news version of https://t.co/z7QRqjVD3F is live.
Stay tuned! news features are coming soon!
#thinktanks #news #politics #economy #Ukraine #Europe #USA #Research #China #UkraineWar #inflation https://t.co/qqJYOtnr1R"
2023-01-15 12:48:33,IsItNotDebunked,"The world of politics is a breeding ground for fake news. Gov. use it to manipulate public opinion and control the narrative. We must be vigilant &amp; question everything we're told. Don't let them control your thoughts, question the narrative #fakeNews #politics #QuestionEverything https://t.co/Tp5V3ai0Vs"
2023-01-15 12:47:30,wearewhfm,"This afternoon at 1pm it's Democracy Show- the regions only #politics show on the radio, featuring local, national and international politics, including stories from #Hull and #Cottingham, MP's earnings for second jobs, #KeirStarmer and #RishiSunak's recent policy speech's.... https://t.co/PXuc7kcURw"
2023-01-15 12:46:17,TheAfricanTime,"Ethiopia- Prime Minister Abiy’s Surprising Cabinet Shakeup Continues
By Addisu Deresse, Addis Ababa
#Ethiopia #politics
https://t.co/o5s3SMWXq7"
2023-01-15 12:46:11,ReusDu,I’m not American but it doesn’t take a fool to notice that Rep Sandra Jackson Lee openly promotes racism through her bill. Americans you know what know what to do at the next election #politics #USPolitics #Democrats #republicans
2023-01-15 12:46:05,abaskswhy,"#Politics | Chidambaram is the pandora's box that Congress would never wants to open. Due to the same reason, the entire Congress party has come to the rescue of Arvind Mayaram, the former close associate of P Chidambaram

Read full article:- https://t.co/l5TV8kS1cA https://t.co/5cwCNgU74l"
2023-01-15 12:45:11,Ridgewoodblog,"Two Injured in SUV Dump Truck Crash at the Intersection of East Ridgewood Avenue and Forest Avenue in #Paramus
https://t.co/jKXmzw8DBp
#news #follow #media #breakingnews #trending #viral #politics #info #currentaffairs #newspaper"
2023-01-15 12:44:41,RoyalPeter2nd,"So i thought that if #HS2 overspent &amp; over run ×3 Times its Professional surveyed costing &amp; prediction then they must have × 3 More operations Underground using rail.

Did Balfour Group &amp; Conlon co tunnel to #GCHQ from chosen points ? #Blenheim ? 

#Politics #SkyNews #RishiSunak https://t.co/qOX6cSHRSt https://t.co/AYrJQ7CQhv"
2023-01-15 12:43:26,viralnews_osint,One Trend to Watch in Every NFL Wild Card Game #breaking #breakingnews #politics #usa #news #newsbreak #trending #entertainment #sports #hockey #baseball #tennis #football #markets #stock #sp500 https://t.co/AM2hUmudaQ
2023-01-15 12:40:14,DonnyoSpeaks,"Years ago, I worked as a sales rep at a small advertising agency. My boss's motto was, 
""Numbers are meant to be manipulated."" Son of a gun was right. #politics https://t.co/iviYBgbTmZ"
2023-01-15 12:39:45,Maniskia_dotcom,Did you know that Vladimir Putin is a black belt in Judo? He has been practicing the martial art for many years and even wrote a book about it. #funfact #VladimirPutin #Russia #politics #leadership #judo #martialarts #sports #strong #power #history #poetin #putin
2023-01-15 12:38:11,JJWvanWaning,"'Listen to [or read] this Article: ""America’s Theater of the Absurd"", by @ChrisLynnHedges 
The current dysfunction in the Congress is but a glimpse of the nightmare ahead.'

@USCongress #democracy #capitalism #materialism #militarism #politics #Fascists 

https://t.co/KkkpK1mpaN"
2023-01-15 12:37:51,PhilipLacroix,"Old Realms (sequel to Touch O' Luck)
Read ch-74 -Leopard in the fog p3- @ ScribbleHub! 
#Novel #Epic #highfantasy #Grimdark #Scribblehub #Adventure #humor #Books #Antihero #knights #medieval #magic #wyvern #dwarf 
#intrigue #politics #Thief #battle 

https://t.co/mgMjimKxwr"
2023-01-15 12:35:28,UrnewzN,Boris Johnson had 'up to £800k credit' to fund lavish life 'with distant cousin's help' #news #politics https://t.co/1zyrIXH1LN
2023-01-15 12:34:50,extropypolitics,"The House GOP is managing to be both high-risk and low-energy
#politics https://t.co/IN76qFYFXg"
2023-01-15 12:32:39,alen_page,@LuckyPhill1607 @HonTonyAbbott @Pontifex I suppose you think you are a comedian. #LNP #auspol #nswpol #qldpol #vicpol #wapol #politics #AusMedia
2023-01-15 12:28:56,99blackbaloons,"""Today’s politicians mirror today’s humans: they lack all of the qualities that our economic system has successfully exterminated in modern society: empathy, critical thinking, and above all, a conscience"" #politics #capitalism #socialism #economics https://t.co/wfNCdvgZ33"
2023-01-15 12:28:42,inwithinman,I am all about #Termlimits come on #Delaware I am sure there is some young up-and-coming state senators that would like his job well go for it he has had four terms time for a new era. #Republicans #Democrats #Politics. https://t.co/DBUA9iBmB7
2023-01-15 12:25:50,sardonicpickle,The octogenarian on my side is way gooder than the septuagenarian on your side. #EasilyDistracted #politics https://t.co/bkxILTRRnl
2023-01-15 12:25:21,Mo_Americanoid,"Ego trips tend to end badly: Battered Biden still thinks he’s the saviour #Biden #Politics #AntiTrump

https://t.co/N85Rl9sywN"
2023-01-15 12:23:46,Mo_Americanoid,"Was the Brazilian middle-aged ‘coup’ a military inside job? #brazil #politics #unrest 

https://t.co/yGHh2QcWSL"
2023-01-15 12:23:42,worldnews_guru,Abbott Expanding Operation Lone Star in Effort to Secure Southern Border https://t.co/8h5RP0Gayk #politics
2023-01-15 12:23:42,worldnews_guru,Republicans Barely Won the House. Now Can They Run It? https://t.co/Y3AKBzRzOU #politics
